('3.71e-03', '9.42e-04', '9.33e-05', '9.26e-06')
('1.85e-03', '4.69e-04', '3.30e-05', '2.21e-06')
('9.22e-04', '2.34e-04', '1.14e-05', '5.32e-07')
('4.60e-04', '1.17e-04', '4.06e-06', '1.28e-07')
('2.66e-02', '1.01e-02', '4.86e-04', '2.90e-04')
('1.32e-02', '5.05e-03', '1.67e-04', '7.38e-05')
('6.59e-03', '2.52e-03', '5.18e-05', '1.85e-05')
('3.29e-03', '1.26e-03', '1.90e-05', '4.61e-06')
('6.15e-03', '3.86e-03', '1.60e-04', '5.94e-05')
('3.07e-03', '1.93e-03', '3.85e-05', '1.56e-05')
('1.54e-03', '9.67e-04', '1.08e-05', '4.03e-06')
('7.68e-04', '4.83e-04', '3.18e-06', '1.04e-06')
('5.41e-03', '1.46e-03', '5.63e-04', '1.49e-04')
('2.64e-03', '7.05e-04', '2.00e-04', '3.52e-05')
('1.30e-03', '3.46e-04', '6.99e-05', '7.82e-06')
('1.35e-02', '5.04e-03', '2.33e-03', '9.40e-04')
('6.24e-03', '2.44e-03', '5.12e-04', '1.74e-04')
('3.00e-03', '1.20e-03', '1.70e-04', '3.83e-05')
('7.53e-03', '3.26e-03', '3.94e-04', '1.27e-04')
('3.69e-03', '1.56e-03', '9.81e-05', '2.85e-05')
('1.83e-03', '7.62e-04', '3.10e-05', '7.49e-06')
